species_id,species_name,species_uuid
1,Dog,b12b31d0-170a-438f-afaf-309cdd9c1739
2,Cat,217fbb99-246a-4da9-967d-206cc06a0925
3,Bird,aa06a270-240b-41bb-ba25-5b2470f2c64e
4,Rabbit,b45ad929-5461-4775-a30f-087a76bda943
5,Guinnea Pig,47f123d2-8759-4b97-a49b-45e8d89e1b22
6,Hamster,408c6fcd-a28e-4aa1-a5f3-2bffcd63ede9
7,Turtle,7044302f-3d67-4f3c-96c3-12119bf050aa
8,Lizard,a7c9ccf2-99c6-4d4b-8da9-ba5fcc5ea053
9,Snake,e960c3ac-438b-4f96-80ea-04be0b2e65f3
10,Frog,4f50afbe-9129-4747-b8c3-fa0b492a61bc
11,Fish,fcb5c668-af3e-45fc-8a58-858f7b98e473
12,Horse,aaec8323-8a4e-48fb-b386-39c669d56a02
13,Goat,0c22d8c3-5272-4720-b403-ba596ce6427d
14,Pig,44a930c4-0865-4004-8601-b9e03f864a79
15,Ferret,6771f1e8-bf9f-435c-b2e6-d31ed3304e70
16,Tiger,f5a591e5-484f-418f-b821-dd4053120cca
